NO.,SPONSOR,SPONSOR CATEGORY,GRANT NAME,PROJECT CODE,PROJECT TITLE,SU STAFF,SCHOOL,DEPT,Project Start Date,Project End Date,AMOUNT AWARDED,COLLABORATORS
1,MOHE,NATIONAL,FRGS,FRGS/1/2018/STG05/SYUC/02/1,"Characterization of SicA, an indispensable protein from Multidrug Resistance Salmonella sp. and its Inhibition with a novel class of phenaleno-furanone compounds.",Edward Richard Tom Tiekink ,SMLS,RCCM,1/1/2019,3/31/2022," 162,800.00 ","Peter Heard, Sunway University, Malaysia; Iskandar Bin Abdullah, Universiti Malaya, Malaysia; Chew Jactty, Sunway University, Malaysia; Chandrajit Lahiri, Sunway University, Malaysia"
2,MOHE,NATIONAL,FRGS,FRGS/1/2018/STG03/SYUC/02/1,A study on the induction of innate immune response by cnidarian alpha-pore forming toxins HALT1 and StII on immune cell lines and C. elegans,Hwang Jung Shan,SMLS,DMS,1/1/2019,3/31/2022," 138,000.00 ","Sheila R.S. Nathan, Universiti Kebangsaan Malaysia, Malaysia; Tong Yuh Koon, Sunway University, Malaysia"
3,MOHE,NATIONAL,FRGS,FRGS/1/2019/SS05/SYUC/02/1,The adult neuroplasticity model: Age-related decline in executive function,Alvin Ng Lai Oon,SMLS,DPSY,9/1/2019,11/30/2022," 100,200.00 ","Rizah Mazzuin Razali, Hospital Of Kuala Lumpur, Malaysia; Rozainee Khairudin, Universiti Kebangsaan Malaysia, Malaysia; Juan Carlos Quiroz Aguilera, Macquarie University, Australia; Alexandre Schaefer, Sunway University, Malaysia; Yong Min Hooi, Sunway University, Malaysia"
4,MOHE,NATIONAL,FRGS,FRGS/1/2019/STG05/SYUC/02/1,Investigation of cellular and molecular mechanisms of Gracilaria manilaensis-mediated functional recovery enhancement following peripheral nerve injury in an in vivo model,Yow Yoon Yen,SMLS,DBS,9/1/2019,2/28/2023," 118,800.00 ","Shyamala Ratnayeke, Sunway University, Malaysia; Lim Siew Huah, Universiti Malaya, Malaysia; Wong Kah Hui, Universiti Malaya, Malaysia; Phang Siew Moi, Universiti Malaya, Malaysia"
5,MOHE,NATIONAL,FRGS,FRGS/1/2019/SKK08/SYUC/03/2,Fundamental Understanding of DNA Methylation of Hepatitis B Virus prior to Hepatocarcinogenesis and its Role in Replication,Chook Jack Bee,SMLS,DMS,9/1/2019,5/31/2022," 185,700.00 ","Ong Seng Kai, Sunway University, Malaysia; Teow Sin Yeang, Sunway University, Malaysia; Tong Yuh Koon, Sunway University, Malaysia; Tee Kok Keng, Universiti Malaya, Malaysia; Ngeow Yun Fong, Universiti Tunku Abdul Rahman, Malaysia ; Rosmawati Mohamed, Universiti Malaya, Malaysia"
6,MOHE,NATIONAL,FRGS,FRGS/1/2019/SKK08/SYUC/02/1,Investigating the role of SIRT1-autophagy regulatory axis in chemoresistance in hepatocellular carcinoma (HCC) using 3D tumour spheroid in vitro model,Ronald Teow Sin Yeang,SMLS,DMS,9/1/2019,11/30/2022," 173,810.00 ","Peh Suat Cheng, Sunway University, Malaysia; Thamil Selvee Ramasamy, Universiti Malaya, Malaysia"
7,MOHE,NATIONAL,FRGS,FRGS/1/2019/SS08/SYUC/01/1,"Sovereign Debt, Credit Rating and Fiscal Sustainability",Mohamed Ariff Syed Mohamed,SBS,DEF,9/1/2019,8/31/2022," 85,700.00 ","Hassanudin Bin Mohd Thas Thaker, Sunway University, Malaysia; Alireza Zarei, Sunway University, Malaysia; Yeah Kim Leng, Sunway University, Malaysia"
8,MOHE,NATIONAL,FRGS,FRGS/1/2020/SKK0/SYUC/02/1,Neuroprotective potential of Polygonum minus (daun kesum) extracts against glutamate-induced toxicity and neurodegeneration in vitro,Audrey Lim Wei Ling,SMLS,DBS,11/1/2020,4/30/2023," 98,351.00 ","Chew Jactty, Sunway University, Malaysia; Teoh Seong Li, Sunway University, Malaysia"
9,MOHE,NATIONAL,FRGS,FRGS/1/2020/SKK06/SYUC/01/1,Anti-Tumor Therapeutics Mediated By Adeno-MBRM and NANO-ACTD Nano-particles,Tan Kuan Onn,SMLS,DBS,11/1/2020,4/30/2024," 163,000.00 ","Felicia Chung Fei Lei, Sunway University, Malaysia; Lim Wei Ling, Sunway University, Malaysia; Poh Chit Laa, Sunway University, Malaysia"
10,MOHE,NATIONAL,FRGS,FRGS/1/2020/SKK06/SYUC/03/1,Structure-guided development of novel antiviral peptides against the four dengue serotypes,Poh Chit Laa ,SMLS,CVVR,11/1/2020,4/30/2023," 150,400.00 ","Gew Lai Ti, Sunway University, Malaysia; Mohd Ishtiaq Bin Anasir, Sunway University, Malaysia"
11,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS0/SYUC/02/2,A fundamental study on cyberbullying of visually impaired youth: Prevalence and its associated factors.,Ooi Pei Boon,SMLS,DMS,11/1/2020,10/31/2023," 85,380.00 ","Herbert Scheithauer, Free University Of Berlin, Germany; Priyadharshini Ahrumugam, Sunway University, Malaysia; Wan Marzuki Wan Jaafar, Universiti Putra Malaysia, Malaysia; Choo Wou Onn, Inti, Malaysia; Chan Nee Nee, Ucsi, Malaysia"
12,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS0/SYUC/02/4,A naturalistic observation of early mother-infant social interactions and its effect on child development,Woo Pei Jun,SMLS,DPSY,11/1/2020,10/31/2024," 103,577.00 ","Ng Lai Oon, Sunway University, Malaysia; Toh Teck Hock, Sibu Hospital, Malaysia; Valentina Sclafani, University Of Lincoln Uk, United Kingdom"
13,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS0/SYUC/02/5,"Development of CGE with Structural Equations of T20, M40 and B40 Groups' Response to Macroeconomic Shocks",Nur Ain Shahrier,SBS,DEF,11/1/2020,10/30/2023," 68,400.00 ","Nga Koe Hwee, Sunway University, Malaysia; Mohamed Ariff Syed Mohamed, Sunway University, Malaysia; Yeah Kim Leng, Sunway University, Malaysia"
14,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS0/SYUC/03/1,Investigating the underlying mechanism that affects parental discipline and adolescents’ mental health in Malaysia,Wu Shin Ling,SMLS,DPSY,11/1/2020,4/30/2023," 105,000.00 ","Yap Chin Choo, Sunway University, Malaysia; Woo Pei Jun, Sunway University, Malaysia"
15,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS01/SYUC/02/2,"Malaysia’s Undervalued Ringgit, Country Risk and Extreme Value Mathematics to Uncover Source(s) of Undervaluation",Lee Kian Tek,SBS,,11/1/2020,4/30/2023," 74,200.00 ","Hassanudin Bin Mohd Thas Thaker, Sunway University, Malaysia; Abdollah Ah Mand, Sunway University, Malaysia; Lee Kian Tek, Sunway University, Malaysia"
16,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS01/SYUC/02/4,"Investigating the Unresolved Low-Middle Income Housing Problem, Malaysia",Mohamed Ariff Syed Mohamed,SBS,DEF,11/1/2020,4/30/2024," 73,200.00 ","Choong Pai Wei, Sunway University, Malaysia; Anwar Bin Allah Pitchay, Universiti Sains Malaysia, Malaysia; Mohamed Asmy Mohd Thas Thaker, Universiti Islam Antarabangsa Malaysia, Malaysia; Hassanudin Bin Mohd Thas Thaker, Sunway University, Malaysia"
17,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS01/SYUC/02/5,Developing a Model of Financial Well-Being Towards Malaysia's Shared Prosperity Vision,Joyce Nga Koe Hwee,SBS,DEF,11/1/2020,4/30/2024," 80,400.00 ","Choong Pai Wei, Sunway University, Malaysia; Leong Ken Yien, Sunway University, Malaysia; Ho Soke Fun, Universiti Teknologi Mara, Malaysia"
18,MOHE,NATIONAL,FRGS,FRGS/1/2020/SS01/SYUC/02/7,Developing a sustainability reporting framework to manage the drivers of social and economic performance in the Malaysian context,Ho Wai Kee,SBS,DACC,11/1/2020,4/30/2023," 69,000.00 ","Jespal Singh Joginder Singh, Sunway University, Malaysia; Shenbagakulalvoymozhi, Sunway University, Malaysia; Hafiza Aishah Hashim, Universiti Malaysia Terengganu, Malaysia; Susela Devi K. Suppiah, Sunway University, Malaysia"
